!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
barbells 1.0	b aa r b eh l z
barber 1.0	b aa r b er
barbie 1.0	b aa r b iy
barbies 1.0	b aa r b iy z
barbiturates 1.0	b aa r b ih ch ax r ey t s
barcelona 1.0	b aa r s ax l ow n ax
barden 1.0	b aa r d en
bare 1.0	b ey r
bare-ly- 1.0	b ey r
barefoot 1.0	b ey r f uh t
barely 1.0	b ey r l iy
bargain 1.0	b aa r g ax n
bargained 1.0	b aa r g ax n d
bargaining 1.0	b aa r g ax n ih ng
bargains 1.0	b aa r g ax n z
barge 1.0	b aa r jh
bargello 1.0	b aa r jh eh l ow
barges 1.0	b aa r jh ih z
baritone 1.0	b ae r ih t ow n
barium 1.0	b ae r iy ax m
bark 1.0	b aa r k
barker 1.0	b aa r k er
barking 1.0	b aa r k ih ng
barks 1.0	b aa r k s
barn 1.0	b aa r n
barney 1.0	b aa r n iy
barns 1.0	b aa r n z
barnyard 1.0	b aa r n y aa r d
barometric 1.0	b ae r ax m eh t r ih k
baron 1.0	b ae r ax n
baroque 1.0	b ax r ow k
barracuda 1.0	b ae r ax k uw d ax
barred 1.0	b aa r d
barrel 1.0	b ae r ax l
barrels 1.0	b ae r ax l z
barren 1.0	b ae r ih n
barricaded 1.0	b ae r ih k ey d ih d
barrier 1.0	b ae r iy er
barriers 1.0	b ae r iy er z
barring 1.0	b aa r ih ng
barrio 1.0	b ae r iy ow
barrios 1.0	b ae r iy ow z
barron 1.0	b ae r ih n
barron's 1.0	b ae r ih n z
barrow 1.0	b ae r ow
barry 1.0	b ae r iy
bars 1.0	b aa r z
bart 1.0	b aa r t
bart's 1.0	b aa r t s
barten-der- 1.0	b aa r t eh n
bartender 1.0	b aa r t eh n d er
bartenders 1.0	b aa r t eh n d er z
bartered 1.0	b aa r t er d
barthelme 1.0	b aa r th eh l m iy
bartlett 1.0	b aa r t l ih t
bartman 1.0	b aa r t m ae n
bas-ic- 1.0	b ey s
bas-ically- 1.0	b ey s
bas-kets- 1.0	b ae s
base 1.0	b ey s
base-ball- 1.0	b ey s
baseball 1.0	b ey s b ao l
baseball's 1.0	b ey s b ao l z
baseballer 1.0	b ey s b ao l er
baseballwise 1.0	b ey s b ao l w ay z
baseboard 1.0	b ey s b ow r d
baseboards 1.0	b ey s b ow r d z
based 1.0	b ey s t
baseline 1.0	b ey s l ay n
baseman 1.0	b ey s m ax n
baseme-nt- 1.0	b ey s m ih
basement 1.0	b ey s m ih n t
basements 1.0	b ey s m ih n t s
basenji 1.0	b ax s eh n jh iy
basenjies 1.0	b ax s eh n jh iy z
baser 1.0	b ey s er
bases 1.0	b ey s ih z
bash 1.0	b ae sh
bashing 1.0	b ae sh ih ng
basi-cally- 1.0	b ey s ih
basic 1.0	b ey s ih k
basic-ally- 1.0	b ey s ih k
basicall-y- 1.0	b ey s ih k l
basically 1.0	b ey s ih k l iy
basics 1.0	b ey s ih k s
basil 1.0	b ae z ax l
basin 1.0	b ey s ih n
basing 1.0	b ey s ih ng
basinger 1.0	b ae z ih n jh er
basis 1.0	b ey s ih s
bask-etball- 1.0	b ae s k
basket 1.0	b ae s k ih t
basket-ball- 1.0	b ae s k ih t
basketball 1.0	b ae s k ax b ao l
basketball 1.0	b ae s k ih t b ao l
basketball's 1.0	b ae s k ax b ao l z
basketball's 1.0	b ae s k ih t b ao l z
baskets 1.0	b ae s k ih t s
basque 1.0	b ae s k
bass 1.0	b ae s
basset 1.0	b ae s ih t
bassoon 1.0	b ae s uw n
bastard 1.0	b ae s t er d
bastards 1.0	b ae s t er d z
bastion 1.0	b ae s ch ih n
bastrop 1.0	b ae s t r ax p
bat 1.0	b ae t
batch 1.0	b ae ch
batches 1.0	b ae ch ih z
bates 1.0	b ey t s
bath 1.0	b ae th
bath-room- 1.0	b ae th
bathe 1.0	b ey dh
bathed 1.0	b ey dh d
bathes 1.0	b ey dh z
bathing 1.0	b ey dh ih ng
bathroom 1.0	b ae th r uw m
bathrooms 1.0	b ae th r uw m z
baths 1.0	b ae dh z
bathtub 1.0	b ae th t ah b
bathtubs 1.0	b ae th t ah b z
batman 1.0	b ae t m ae n
baton 1.0	b ae t en
bats 1.0	b ae t s
batted 1.0	b ae t ih d
batter 1.0	b ae t er
batteries 1.0	b ae t ax r iy z
battery 1.0	b ae t ax r iy
batting 1.0	b ae t ih ng
battle 1.0	b ae t ax l
battle 1.0	b ae t el
battled 1.0	b ae t el d
battleground 1.0	b ae t el g r aw n d
battles 1.0	b ae t el z
battling 1.0	b ae t ax l ih ng
batty 1.0	b ae t iy
baud 1.0	b ao d
baudelaire 1.0	b ow d ax l ey r
bauhaus 1.0	b aw hh aw s
bausch 1.0	b ao sh
bavarian 1.0	b ax v eh r iy ih n
bawd 1.0	b ao d
bawled 1.0	b ao l d
baxter 1.0	b ae k s t er
bay 1.0	b ey
bay-lor's- 1.0	b ey
bayfield 1.0	b ey f iy l d
bayless 1.0	b ey l ih s
bayliner 1.0	b ey l ay n er
baylor 1.0	b ey l er
baylor's 1.0	b ey l er z
bayou 1.0	b ay uw
bays 1.0	b ey z
bazaar 1.0	b ax z aa r
bazo 1.0	b ey z ow
be 1.0	b iy
be-came- 1.0	b ax k
be-cause- 1.0	b ax
be-comes- 1.0	b ih
be-fore- 1.0	b ax
be-gan- 1.0	b ax
be-gin- 1.0	b ax
be-gining- 1.0	b ax
be-ing- 1.0	b iy
be-lieve- 1.0	b ih
be-low- 1.0	b ax
be-nefits- 1.0	b eh
be-st- 1.0	b eh
be-t- 1.0	b eh t
be-tter- 1.0	b eh
be-tween- 1.0	b ax
be-yond- 1.0	b iy
beach 1.0	b iy ch
beachcomber 1.0	b iy ch k ow m er
beaches 1.0	b iy ch ih z
beads 1.0	b iy d z
beagle 1.0	b iy g ax l
beam 1.0	b iy m
beamer 1.0	b iy m er
beamers 1.0	b iy m er z
beaming 1.0	b iy m ih ng
beams 1.0	b iy m z
bean 1.0	b iy n
bean's 1.0	b iy n z
beaner 1.0	b iy n er
beans 1.0	b iy n z
bear 1.0	b ey r
bearable 1.0	b ey r ax b ax l
beard 1.0	b iy r d
beard's 1.0	b iy r d z
beards 1.0	b iy r d z
bearing 1.0	b ey r ih ng
bearings 1.0	b ey r ih ng z
bears 1.0	b ey r z
beast 1.0	b iy s t
beastie 1.0	b iy s t iy
beat 1.0	b iy t
beaten 1.0	b iy t en
beater 1.0	b iy t er
beating 1.0	b iy t ih ng
beatings 1.0	b iy t ih ng z
beatle 1.0	b iy t el
beatles 1.0	b iy t el z
beats 1.0	b iy t s
beatty 1.0	b ey t iy
beau-tiful- 1.0	b y uw
beaucoup 1.0	b ow k uw
beaumont 1.0	b ow m aa n t
beauregard 1.0	b ow r ax g aa r d
beautician 1.0	b y uw t ih sh ih n
beauticians 1.0	b y uw t ih sh ih n z
beautiful 1.0	b y uw t ih f ax l
beautifully 1.0	b y uw t ih f ax l iy
beautify 1.0	b y uw t ih f ay
beauty 1.0	b y uw t iy
beaver 1.0	b iy v er
beavers 1.0	b iy v er z
bebble 1.0	b eh b ax l
bebopping 1.0	b iy b aa p ih ng
bec-ause- 1.0	b ax k
bec-ome- 1.0	b ih
bec-oming- 1.0	b ih k
beca-use- 1.0	b ax k ah
became 1.0	b ax k ey m
becau-se- 1.0	b ax k ah
becau-se- 1.0	k ah
because 1.0	b ax k ah z
because 1.0	k ah z
becca 1.0	b eh k ax
beck 1.0	b eh k
becky 1.0	b eh k iy
beco-me- 1.0	b ih k ah
become 1.0	b ah k ah m
become 1.0	b ih k ah m
becomes 1.0	b ih k ah m z
becomes 1.0	b iy k ah m z
becoming 1.0	b ih k ah m ih ng
bed 1.0	b eh d
bed's 1.0	b eh d z
bed-spread- 1.0	b eh d
bedding 1.0	b eh d ih ng
bedlam 1.0	b eh d l ax m
bedpans 1.0	b eh d p ae n z
bedridden 1.0	b eh d r ih d ax n
bedroo-m- 1.0	b eh d r uw
bedroom 1.0	b eh d r uw m
bedroom's 1.0	b eh d r uw m z
bedrooms 1.0	b eh d r uw m z
beds 1.0	b eh d z
bedspread 1.0	b eh d s p r eh d
bedtime 1.0	b eh d t ay m
bee 1.0	b iy
bee's 1.0	b iy z
bee-n- 1.0	b iy
beef 1.0	b iy f
beefed 1.0	b iy f t
beefing 1.0	b iy f ih ng
beeline 1.0	b iy l ay n
been 1.0	b ih n
beep 1.0	b iy p
beeped 1.0	b iy p t
beeper 1.0	b iy p er
beepers 1.0	b iy p er z
beeping 1.0	b iy p ih ng
beeps 1.0	b iy p s
beer 1.0	b iy r
beers 1.0	b iy r z
bees 1.0	b iy z
beet 1.0	b iy t
beethoven 1.0	b ey t ow v ax n
beethoven's 1.0	b ey t ow v ax n z
beetle 1.0	b iy t el
beetlejuice 1.0	b iy t el jh uw s
beetles 1.0	b iy t el z
beets 1.0	b iy t s
bef-ore- 1.0	b ax f
befalls 1.0	b ax f ao l z
befitting 1.0	b ax f ih t ih ng
befo-re- 1.0	b ax f ow
before 1.0	b ax f ow r
beforehand 1.0	b ax f ow r hh ae n d
befriended 1.0	b ax f r eh n d ih d
befriends 1.0	b ax f r eh n d z
beg 1.0	b eh g
begajah 1.0	b ax g aa jh ax
began 1.0	b ax g ae n
began 1.0	b ax g en n
begats 1.0	b ih g ae t s
begging 1.0	b eh g ih ng
begi-n- 1.0	b ax g ih
begi-ning- 1.0	b ax g ih
begin 1.0	b ax g ih n
beginer's 1.0	b ax g ih n er z
beginner 1.0	b ax g ih n er
beginners 1.0	b ax g ih n er z
beginning 1.0	b ax g ih n ih ng
beginnings 1.0	b ax g ih n ih ng z
begins 1.0	b ax g ih n z
begonias 1.0	b ax g ow n y ax z
begrudge 1.0	b ax g r ah jh
begun 1.0	b ax g ah n
behalf 1.0	b ax hh ae f
behave 1.0	b ax hh ey v
behaved 1.0	b ax hh ey v d
behavior 1.0	b ax hh ey v y er
behavioral 1.0	b ax hh ey v y ax r ax l
behaviors 1.0	b ax hh ey v y er z
behi-nd- 1.0	b ax hh ay
behind 1.0	b ax hh ay n d
behinds 1.0	b ax hh ay n d z
behold 1.0	b ax hh ow l d
beholder 1.0	b ax hh ow l d er
beholding 1.0	b ax hh ow l d ih ng
behoove 1.0	b ax hh uw v
bei-ge- 1.0	b ey
beige 1.0	b ey zh
beijing 1.0	b ey jh ih ng
being 1.0	b iy ih ng
being's 1.0	b iy ih ng z
beings 1.0	b iy ih ng z
beirut 1.0	b ey r uw t
bel-air 1.0	b eh l ey r
bel-ieve- 1.0	b ih l
bel-ow- 1.0	b ax
belch 1.0	b eh l ch
belcher 1.0	b eh l ch er
belching 1.0	b eh l ch ih ng
belev 1.0	b eh l ax v
belfry 1.0	b eh l f r iy
belgian 1.0	b eh l jh ih n
belgians 1.0	b eh l jh ih n z
belgium 1.0	b eh l jh ax m
belie-ve- 1.0	b ih l iy
belief 1.0	b ax l iy f
beliefs 1.0	b ax l iy f s
believable 1.0	b ax l iy v ax b ax l
believe 1.0	b ih l iy v
believed 1.0	b ih l iy v d
believer 1.0	b ih l iy v er
believes 1.0	b ih l iy v z
believing 1.0	b ih l iy v ih ng
belittled 1.0	b ax l ih t el d
belittling 1.0	b ax l ih t ax l ih ng
belize 1.0	b eh l iy z
bell 1.0	b eh l
bellcore 1.0	b eh l k ow r
belle 1.0	b eh l
bellies 1.0	b eh l iy z
belligerent 1.0	b ax l ih jh ih r ih n t
bells 1.0	b eh l z
belly 1.0	b eh l iy
bellyache 1.0	b eh l iy ey k
belon-g- 1.0	b ax l ao n
belong 1.0	b ax l ao ng
belonged 1.0	b ax l ao ng d
belonging 1.0	b ax l ao ng ih ng
belongings 1.0	b ax l ao ng ih ng z
belongs 1.0	b ax l ao ng z
belorussia 1.0	b ax l ow r ah sh ax
below 1.0	b ax l ow
belt 1.0	b eh l t
belted 1.0	b eh l t ih d
beltin 1.0	b eh l t ih n
belting 1.0	b eh l t ih ng
beltline 1.0	b eh l t l ay n
belton 1.0	b eh l t ih n
belts 1.0	b eh l t s
beltway 1.0	b eh l t w ey
belva 1.0	b eh l v ax
bemerton 1.0	b eh m er t ax n
ben 1.0	b eh n
ben-efit- 1.0	b eh n
ben-efits- 1.0	b eh n
benadryl 1.0	b eh n ax d r ih l
bench 1.0	b eh n ch
benches 1.0	b eh n ch ih z
benchley 1.0	b eh n ch l iy
benchmarked 1.0	b eh n ch m aa r k t
bend 1.0	b eh n d
bender 1.0	b eh n d er
benders 1.0	b eh n d er z
bending 1.0	b eh n d ih ng
bendix 1.0	b eh n d ih k s
bends 1.0	b eh n d z
bene-fits- 1.0	b eh n ih
beneath 1.0	b ax n iy th
benedict 1.0	b eh n ih d ih k t
benef-it- 1.0	b eh n ih f
benef-its- 1.0	b eh n ih f
beneficial 1.0	b eh n ax f ih sh ax l
beneficiary 1.0	b eh n ax f ih sh iy eh r iy
benefit 1.0	b eh n ih f ih t
benefited 1.0	b eh n ih f ih t ih d
benefiting 1.0	b eh n ih f ih t ih ng
benefits 1.0	b eh n ih f ih t s
benefitted 1.0	b eh n ih f ih t ih d
bengals 1.0	b eh ng g ao l z
benign 1.0	b ax n ay n
benihana's 1.0	b eh n ih hh aa n ax z
benji 1.0	b eh n jh iy
bennett 1.0	b eh n ih t
bennie 1.0	b eh n iy
bennigan's 1.0	b eh n ih g ax n z
benning-ton- 1.0	b eh n ih ng
bennington 1.0	b eh n ih ng t ax n
benny 1.0	b eh n iy
benny's 1.0	b eh n iy z
benson 1.0	b eh n s ax n
bent 1.0	b eh n t
bentsen 1.0	b eh n s ih n
benyak 1.0	b eh n y aa k
benz 1.0	b eh n z
benzes 1.0	b eh n z ih z
ber-muda- 1.0	b er
berating 1.0	b ax r ey t ih ng
berbar 1.0	b eh r b aa r
berber 1.0	b er b er
beret 1.0	b ax r ey
beretta 1.0	b ax r eh t ax
bergen 1.0	b er g ax n
berkeley 1.0	b er k l iy
berkner 1.0	b er k n er
berle 1.0	b er l
berlin 1.0	b er l ih n
bermuda 1.0	b er m y uw d ax
bermuda's 1.0	b er m y uw d ax z
bern 1.0	b er n
bernardino 1.0	b er n aa r d iy n uw
bernards 1.0	b er n aa r d z
berne 1.0	b er n
bernie 1.0	b er n iy
bernie's 1.0	b er n iy z
berries 1.0	b eh r iy z
berry 1.0	b eh r iy
berry's 1.0	b eh r iy z
berserk 1.0	b er s er k
bertinelli 1.0	b er t ih n eh l iy
beside 1.0	b ax s ay d
besides 1.0	b ax s ay d z
besieged 1.0	b ax s iy jh d
best 1.0	b eh s t
best-seller 1.0	b eh s t s eh l er
bestowed 1.0	b ax s t ow d
bet 1.0	b eh t
bet-ween- 1.0	b ax t
beta 1.0	b ey t ax
betcha 1.0	b eh ch ax
beth 1.0	b eh th
bethany 1.0	b eh th ax n iy
bethesda 1.0	b ax th eh z d ax
bets 1.0	b eh t s
bett-er- 1.0	b eh t
bette 1.0	b eh t
better 1.0	b eh t er
betters 1.0	b eh t er z
betting 1.0	b eh t ih ng
betty 1.0	b eh t iy
between 1.0	b ax t w iy n
beuerlein 1.0	b oy er l ay n
beuerlein's 1.0	b oy er l ay n z
bev 1.0	b eh v
bevelled 1.0	b eh v ax l d
beverage 1.0	b eh v ax r ih jh
beverages 1.0	b eh v ax r ih jh ih z
beverly 1.0	b eh v er l iy
beware 1.0	b iy w ey r
bewildered 1.0	b ax w ih l d er d
bewitched 1.0	b ax w ih ch t
beyond 1.0	b iy aa n d
bi-as- 1.0	b ay
bi-ble- 1.0	b ay
bi-g- 1.0	b ih
bi-ke- 1.0	b ay
bi-level 1.0	b ay l eh v eh l
bi-lingual- 1.0	b ay
bi-llion- 1.0	b ih
bi-monthly- 1.0	b ay
bi-nary- 1.0	b ay
bi-t- 1.0	b ih
bias 1.0	b ay ih s
biase-s- 1.0	b ay ih s ih
biased 1.0	b ay ih s t
biasedly 1.0	b ay ih s t l iy
biases 1.0	b ay ih s ih z
bib 1.0	b ih b
bible 1.0	b ay b ax l
bible's 1.0	b ay b ax l z
bibles 1.0	b ay b ax l z
biblical 1.0	b ih b l ih k ax l
bibliography 1.0	b ih b l iy aa g r ax f iy
bibs 1.0	b ih b z
bic 1.0	b ih k
bicentennial 1.0	b ay s eh n t eh n iy ax l
bicep 1.0	b ay s eh p
bichon 1.0	b iy sh ao n
bichons 1.0	b iy sh ao n z
bickering 1.0	b ih k ax r ih ng
bicycle 1.0	b ay s ih k ax l
bicycled 1.0	b ay s ih k ax l d
bicycles 1.0	b ay s ih k ax l z
bicycling 1.0	b ay s ih k l ih ng
bicycling's 1.0	b ay s ih k l ih ng z
bicyclist 1.0	b ay s ih k l ih s t
bid 1.0	b ih d
bidder 1.0	b ih d er
bidding 1.0	b ih d ih ng
bide 1.0	b ay d
biding 1.0	b ay d ih ng
bids 1.0	b ih d z
biejo 1.0	b ey jh ow
biffin's 1.0	b ih f ih n z
bifocals 1.0	b ay f ow k ax l z
bifricated 1.0	b ih f r ih k ey t ih d
big 1.0	b ih g
big-oted- 1.0	b ih g
bigge-st- 1.0	b ih g ax
bigger 1.0	b ih g er
biggest 1.0	b ih g ax s t
biggie 1.0	b ih g iy
biggies 1.0	b ih g iy z
bighorn 1.0	b ih g hh ow r n
bighorns 1.0	b ih g hh ow r n z
bigoted 1.0	b ih g ax t ih d
bike 1.0	b ay k
biked 1.0	b ay k t
biker 1.0	b ay k er
bikers 1.0	b ay k er z
bikes 1.0	b ay k s
biking 1.0	b ay k ih ng
bilin-gual- 1.0	b ay l ih n
bilingual 1.0	b ay l ih ng g w ax l
bilingualism 1.0	b ay l ih ng g w ax l ih z ax m
bilk 1.0	b ih l k
bill 1.0	b ih l
bill's 1.0	b ih l z
billboard 1.0	b ih l b ow r d
billboards 1.0	b ih l b ow r d z
billed 1.0	b ih l d
billfold 1.0	b ih l f ow l d
billiard 1.0	b ih l y er d
billing 1.0	b ih l ih ng
billings 1.0	b ih l ih ng z
billion 1.0	b ih l y ih n
billions 1.0	b ih l y ih n z
bills 1.0	b ih l z
billy 1.0	b ih l iy
biloxi 1.0	b ih l ao k s iy
bim 1.0	b ih m
bimbo 1.0	b ih m b ow
bimetal 1.0	b ay m eh t el
bimonthly 1.0	b ay m ah n th l iy
bin 1.0	b ih n
binary 1.0	b ay n ax r iy
bind 1.0	b ay n d
binders 1.0	b ay n d er z
binding 1.0	b ay n d ih ng
binds 1.0	b ay n d z
bing 1.0	b ih ng
binge 1.0	b ih n jh
binges 1.0	b ih n jh ih z
bingo 1.0	b ih ng g ow
binoculars 1.0	b ay n aa k y ax l er z
bins 1.0	b ih n z
bio-logical- 1.0	b ay ax
biochemical 1.0	b ay ow k eh m ih k ax l
biodegr-adable- 1.0	b ay ow d ih g r
biodegradable 1.0	b ay ow d ih g r ey d ax b ax l
biodegrade 1.0	b ay ow d ih g r ey d
biogra-phies- 1.0	b ay aa g r ax
biographer 1.0	b ay aa g r ax f er
biographies 1.0	b ay aa g r ax f iy z
biography 1.0	b ay aa g r ax f iy
biological 1.0	b ay ax l aa jh ih k ax l
biologically 1.0	b ay ax l aa jh ih k l iy
biologist 1.0	b ay aa l ax jh ih s t
biology 1.0	b ay aa l ax jh iy
biomedical 1.0	b ay ow m eh d ih k ax l
biotech 1.0	b ay ow t eh k
bir-d- 1.0	b er
bir-ds- 1.0	b er
biraporetti's 1.0	b ih r ax p ax r eh t iy z
birch 1.0	b er ch
bird 1.0	b er d
bird's 1.0	b er d z
birdie 1.0	b er d iy
birds 1.0	b er d z
birkner 1.0	b er k n er
birmingham 1.0	b er m ih ng ax m
birth 1.0	b er th
birth-day- 1.0	b er th
birthday 1.0	b er th d ey
birthday's 1.0	b er th d ey z
birthdays 1.0	b er th d ey z
birthing 1.0	b er th ih ng
biscuits 1.0	b ih s k ih t s
bishu 1.0	b ih sh uw
bison 1.0	b ay s ax n
bisque 1.0	b ih s k
bisquick 1.0	b ih s k w ih k
bit 1.0	b ih t
bitch 1.0	b ih ch
bite 1.0	b ay t
bites 1.0	b ay t s
biting 1.0	b ay t ih ng
bitish 1.0	b ay t ih sh
bits 1.0	b ih t s
bittel 1.0	b ih t el
bitten 1.0	b ih t en
bitter 1.0	b ih t er
bitterest 1.0	b ih t er ih s t
bitterly 1.0	b ih t er l iy
bitterness 1.0	b ih t er n ih s
bittersweet 1.0	b ih t er s w iy t
bitty 1.0	b ih t iy
biweekly 1.0	b ay w iy k l iy
biz 1.0	b ih z
bizarre 1.0	b ih z aa r
bizmart 1.0	b ih z m aa r t
bizzaro 1.0	b ih z aa r ow
bl-ack- 1.0	b l
bl-eeding- 1.0	b l
bl-ock- 1.0	b l
bl-ood- 1.0	b l
bl-oom- 1.0	b l
bl-ue- 1.0	b l
black 1.0	b l ae k
black-eyed 1.0	b l ae k ay d
blackball 1.0	b l ae k b ao l
blackberries 1.0	b l ae k b eh r iy z
blackberry 1.0	b l ae k b eh r iy
blackened 1.0	b l ae k ax n d
blackening 1.0	b l ae k ax n ih ng
blackens 1.0	b l ae k ax n z
blackeyed 1.0	b l ae k ay d
blackfoot 1.0	b l ae k f uh t
blackish 1.0	b l ae k ih sh
blacklist 1.0	b l ae k l ih s t
blackmail 1.0	b l ae k m ey l
blackman 1.0	b l ae k m ax n
blackouts 1.0	b l ae k aw t s
blacks 1.0	b l ae k s
blacksburg 1.0	b l ae k s b er g
blacksmith 1.0	b l ae k s m ih th
blackwoods 1.0	b l ae k w uh d z
blade 1.0	b l ey d
blades 1.0	b l ey d z
blading 1.0	b l ey d ih ng
blah 1.0	b l aa
blair 1.0	b l ey r
blake 1.0	b l ey k
blame 1.0	b l ey m
blamed 1.0	b l ey m d
blaming 1.0	b l ey m ih ng
blanchard 1.0	b l ae n ch er d
blanche 1.0	b l ae n ch
blanco 1.0	b l ae ng k ow
bland 1.0	b l ae n d
blank 1.0	b l ae ng k
blank's 1.0	b l ae ng k s
blanket 1.0	b l ae ng k ih t
blankets 1.0	b l ae ng k ih t s
blanking 1.0	b l ae ng k ih ng
blanks 1.0	b l ae ng k s
blase 1.0	b l aa z ey
blasphemy 1.0	b l ae s f ax m iy
blast 1.0	b l ae s t
blasted 1.0	b l ae s t ih d
blasters 1.0	b l ae s t er z
blasting 1.0	b l ae s t ih ng
blatant 1.0	b l ey t en t
blatantly 1.0	b l ey t en t l iy
blaze 1.0	b l ey z
blazer 1.0	b l ey z er
blazers 1.0	b l ey z er z
blazey 1.0	b l ey z iy
blazing 1.0	b l ey z ih ng
bleach 1.0	b l iy ch
bleached 1.0	b l iy ch t
bleacher 1.0	b l iy ch er
bleachers 1.0	b l iy ch er z
bleaching 1.0	b l iy ch ih ng
bleak 1.0	b l iy k
bled 1.0	b l eh d
bleed 1.0	b l iy d
bleeding 1.0	b l iy d ih ng
bleeds 1.0	b l iy d z
bleep 1.0	b l iy p
blend 1.0	b l eh n d
blended 1.0	b l eh n d ih d
blender 1.0	b l eh n d er
blenders 1.0	b l eh n d er z
blending 1.0	b l eh n d ih ng
bless 1.0	b l eh s
blessed 1.0	b l eh s ih d
blesses 1.0	b l eh s ih z
blessing 1.0	b l eh s ih ng
blessings 1.0	b l eh s ih ng z
bleu 1.0	b l uw
blew 1.0	b l uw
blind 1.0	b l ay n d
blinded 1.0	b l ay n d ih d
blinders 1.0	b l ay n d er z
blindfold 1.0	b l ay n d f ow l d
blindly 1.0	b l ay n d l iy
blinds 1.0	b l ay n d z
blindsided 1.0	b l ay n d s ay d ih d
blink 1.0	b l ih ng k
blinked 1.0	b l ih ng k t
blinking 1.0	b l ih ng k ih ng
blip 1.0	b l ih p
bliss 1.0	b l ih s
blissful 1.0	b l ih s f ax l
blistering 1.0	b l ih s t ax r ih ng
blisters 1.0	b l ih s t er z
blithe 1.0	b l ay dh
blitz 1.0	b l ih t s
blitzer 1.0	b l ih t s er
blizzard 1.0	b l ih z er d
blo-ck- 1.0	b l aa
blob 1.0	b l aa b
block 1.0	b l aa k
blockbuster 1.0	b l aa k b ah s t er
blockbuster's 1.0	b l aa k b ah s t er z
blockbusters 1.0	b l aa k b ah s t er z
blocking 1.0	b l aa k ih ng
blocks 1.0	b l aa k s
blonde 1.0	b l aa n d
blondie 1.0	b l aa n d iy
bloo-d- 1.0	b l ah
blood 1.0	b l ah d
blooded 1.0	b l ah d ih d
bloodhound 1.0	b l ah d hh aw n d
bloodier 1.0	b l ah d iy er
bloodless 1.0	b l ah d l ih s
bloodshed 1.0	b l ah d sh eh d
bloodstream 1.0	b l ah d s t r iy m
bloodthirsty 1.0	b l ah d th er s t iy
bloody 1.0	b l ah d iy
bloom 1.0	b l uw m
bloomed 1.0	b l uw m d
bloomers 1.0	b l uw m er z
blooming 1.0	b l uw m ih ng
blooms 1.0	b l uw m z
bloopers 1.0	b l uw p er z
blossom 1.0	b l aa s ax m
blossomed 1.0	b l aa s ax m d
blossoming 1.0	b l aa s ax m ih ng
blossoms 1.0	b l aa s ax m z
blouse 1.0	b l aw s
blouses 1.0	b l aw s ih z
blow 1.0	b l ow
blow's 1.0	b l ow z
blower 1.0	b l ow er
blowers 1.0	b l ow er z
blowing 1.0	b l ow ih ng
blown 1.0	b l ow n
blowout 1.0	b l ow aw t
blowouts 1.0	b l ow aw t s
blows 1.0	b l ow z
blowup 1.0	b l ow ah p
blowy 1.0	b l ow iy
blue 1.0	b l uw
blueberries 1.0	b l uw b eh r iy z
blueberry 1.0	b l uw b eh r iy
bluebonnets 1.0	b l uw b aa n ih t s
bluegrass 1.0	b l uw g r ae s
blueprints 1.0	b l uw p r ih n t s
blues 1.0	b l uw z
bluesy 1.0	b l uw z iy
bluffed 1.0	b l ah f t
bluish-gray 1.0	b l uw ih sh g r ey
blunt 1.0	b l ah n t
bluntly 1.0	b l ah n t l iy
blurb 1.0	b l er b
blurbs 1.0	b l er b z
blurred 1.0	b l er d
bly 1.0	b l ay
blythe 1.0	b l ay dh
bo 1.0	b ow
bo's 1.0	b ow z
bo-dy- 1.0	b aa
bo-hemian- 1.0	b ow
bo-mb- 1.0	b aa
bo-ring- 1.0	b ow
bo-ris- 1.0	b ow
bo-rrow- 1.0	b aa
bo-th- 1.0	b ow
bo-ther- 1.0	b aa
bo-thers- 1.0	b aa
bo-ttom- 1.0	b aa
bo-y- 1.0	b
boa 1.0	b ow ax
boar 1.0	b ow r
board 1.0	b ow r d
board's 1.0	b ow r d z
boarded 1.0	b ow r d ih d
boarding 1.0	b ow r d ih ng
boards 1.0	b ow r d z
boardwalk 1.0	b ow r d w ao k
boast 1.0	b ow s t
boastful 1.0	b ow s t f ax l
boat 1.0	b ow t
boated 1.0	b ow t ih d
boating 1.0	b ow t ih ng
boats 1.0	b ow t s
bob 1.0	b aa b
bobber 1.0	b aa b er
bobbie 1.0	b aa b iy
bobby 1.0	b aa b iy
bobrank 1.0	b ow b r ae ng k
bobsy 1.0	b aa b z iy
boca 1.0	b ow k ax
bod-y- 1.0	b aa d
bodied 1.0	b aa d iy d
bodies 1.0	b aa d iy z
bodily 1.0	b aa d ih l iy
body 1.0	b aa d iy
body's 1.0	b aa d iy z
boeing 1.0	b ow ih ng
bog 1.0	b ao g
bogart's 1.0	b ow g aa r t s
bogey 1.0	b ow g iy
bogg-ling- 1.0	b ao g
bogged 1.0	b ao g d
boggled 1.0	b ao g ax l d
boggles 1.0	b ao g ax l z
boggling 1.0	b ao g ax l ih ng
bogus 1.0	b ow g ax s
bogused 1.0	b ow g ax s t
bohemian 1.0	b ow hh iy m iy ih n
boil 1.0	b oy l
boiled 1.0	b oy l d
boilerhouse 1.0	b oy l er hh aw s
boilermaker 1.0	b oy l er m ey k er
boiling 1.0	b oy l ih ng
boils 1.0	b oy l z
boings 1.0	b oy ng z
boise 1.0	b oy z iy
bol-d- 1.0	b ow l
bold 1.0	b ow l d
bolivia 1.0	b ax l ih v iy ax
bollfield 1.0	b ao l f iy l d
