!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
CLAUSTROPHOBIC	K_B L_I AO_I S_I T_I R_I AX_I F_I OW_I B_I IH_I K_E
CLAVICHORD	K_B L_I AE_I V_I IH_I K_I OW_I R_I D_E
CLAW	K_B L_I AO_E #2
CLAWS	K_B L_I AO_I Z_E #3
CLAY	K_B L_I EY_E
CLAYTIE	K_B L_I EY_I T_I AY_E
CLAYTON	K_B L_I EY_I T_I EN_E
CLE-AR-	K_B L_I IY_E #1
CLEA-R-	K_B L_I IY_E #2
CLEAN	K_B L_I IY_I N_E #2
CLEANED	K_B L_I IY_I N_I D_E
CLEANER	K_B L_I IY_I N_I ER_E
CLEANERS	K_B L_I IY_I N_I ER_I Z_E
CLEANEST	K_B L_I IY_I N_I IH_I S_I T_E
CLEANING	K_B L_I IY_I N_I IH_I NG_E
CLEANLINESS	K_B L_I EH_I N_I L_I IY_I N_I IH_I S_E
CLEANLY	K_B L_I IY_I N_I L_I IY_E
CLEANS	K_B L_I IY_I N_I Z_E
CLEANSER	K_B L_I EH_I N_I Z_I ER_E
CLEANSING	K_B L_I EH_I N_I Z_I IH_I NG_E
CLEANUP	K_B L_I IY_I N_I AH_I P_E
CLEAR	K_B L_I IY_I R_E
CLEARANCE	K_B L_I IY_I R_I IH_I N_I S_E
CLEARANCES	K_B L_I IY_I R_I IH_I N_I S_I IH_I Z_E
CLEARED	K_B L_I IY_I R_I D_E
CLEARER	K_B L_I IY_I R_I ER_E
CLEAREST	K_B L_I IY_I R_I IH_I S_I T_E
CLEARING	K_B L_I IY_I R_I IH_I NG_E
CLEARINGHOUSE	K_B L_I IY_I R_I IH_I NG_I HH_I AW_I S_E
CLEARLY	K_B L_I IY_I R_I L_I IY_E #2
CLEARS	K_B L_I IY_I R_I Z_E
CLEARWATER	K_B L_I IY_I R_I W_I AO_I T_I ER_E
CLEASE	K_B L_I IY_I Z_E
CLEATS	K_B L_I IY_I T_I S_E
CLEAVER	K_B L_I IY_I V_I ER_E
CLEMENTE	K_B L_I AX_I M_I EH_I N_I T_I EY_E
CLEMSON	K_B L_I EH_I M_I S_I AX_I N_E
CLEO	K_B L_I IY_I OW_E
CLER-ICAL-	K_B L_I EH_I R_E
CLERGY	K_B L_I ER_I JH_I IY_E
CLERICAL	K_B L_I EH_I R_I IH_I K_I AX_I L_E
CLERK	K_B L_I ER_I K_E
CLERKS	K_B L_I ER_I K_I S_E
CLEVELAND	K_B L_I IY_I V_I L_I AX_I N_I D_E
CLEVER	K_B L_I EH_I V_I ER_E
CLI-CK-	K_B L_I IH_E
CLI-MB-	K_B L_I AY_E
CLICHE	K_B L_I IH_I SH_I EY_E
CLICK	K_B L_I IH_I K_E
CLICKED	K_B L_I IH_I K_I T_E
CLICKER	K_B L_I IH_I K_I ER_E
CLICKING	K_B L_I IH_I K_I IH_I NG_E
CLICKS	K_B L_I IH_I K_I S_E
CLIENT	K_B L_I AY_I IH_I N_I T_E #2
CLIENT'S	K_B L_I AY_I IH_I N_I T_I S_E #1
CLIENTELE	K_B L_I AY_I IH_I N_I T_I EH_I L_E
CLIENTS	K_B L_I AY_I IH_I N_I T_I S_E #2
CLIENTS'	K_B L_I AY_I IH_I N_I T_I S_E #3
CLIFF	K_B L_I IH_I F_E
CLIFFHANGER	K_B L_I IH_I F_I HH_I AE_I NG_I ER_E
CLIFFHANGERS	K_B L_I IH_I F_I HH_I AE_I NG_I ER_I Z_E
CLIFFS	K_B L_I IH_I F_I S_E
CLIFTON	K_B L_I IH_I F_I T_I AX_I N_E
CLIMACTIC	K_B L_I AY_I M_I AE_I K_I T_I IH_I K_E
CLIMATE	K_B L_I AY_I M_I AX_I T_E
CLIMATE'S	K_B L_I AY_I M_I AX_I T_I S_E #1
CLIMATES	K_B L_I AY_I M_I AX_I T_I S_E #2
CLIMATIC	K_B L_I AY_I M_I AE_I T_I IH_I K_E
CLIMATIZED	K_B L_I AY_I M_I AX_I T_I AY_I Z_I D_E
CLIMB	K_B L_I AY_I M_E
CLIMBED	K_B L_I AY_I M_I D_E
CLIMBER	K_B L_I AY_I M_I ER_E
CLIMBERS	K_B L_I AY_I M_I ER_I Z_E
CLIMBING	K_B L_I AY_I M_I IH_I NG_E
CLIMBS	K_B L_I AY_I M_I Z_E
CLINE	K_B L_I AY_I N_E #1
CLINGING	K_B L_I IH_I NG_I IH_I NG_E
CLINIC	K_B L_I IH_I N_I IH_I K_E
CLINICAL	K_B L_I IH_I N_I IH_I K_I AX_I L_E
CLINICALLY	K_B L_I IH_I N_I IH_I K_I AX_I L_I IY_E
CLINICS	K_B L_I IH_I N_I IH_I K_I S_E
CLINT	K_B L_I IH_I N_I T_E
CLINTON	K_B L_I IH_I N_I T_I EN_E
CLINTON'S	K_B L_I IH_I N_I T_I EN_I Z_E
CLIP	K_B L_I IH_I P_E
CLIPBOARD	K_B L_I IH_I P_I B_I OW_I R_I D_E
CLIPPER	K_B L_I IH_I P_I ER_E
CLIPPERS	K_B L_I IH_I P_I ER_I Z_E
CLIPPING	K_B L_I IH_I P_I IH_I NG_E
CLIPPINGS	K_B L_I IH_I P_I IH_I NG_I Z_E
CLIPS	K_B L_I IH_I P_I S_E
CLIVE	K_B L_I AY_I V_E
CLO	K_B L_I OW_E #2
CLO-SE-	K_B L_I OW_E #3
CLO-SED-	K_B L_I OW_E #4
CLO-THES-	K_B L_I OW_E #5
CLOBBER	K_B L_I AA_I B_I ER_E
CLOCK	K_B L_I AA_I K_E
CLOCK'S	K_B L_I AA_I K_I S_E #1
CLOCKED	K_B L_I AA_I K_I T_E
CLOCKS	K_B L_I AA_I K_I S_E #2
CLOG	K_B L_I AO_I G_E
CLOGGED	K_B L_I AO_I G_I D_E
CLOGGING	K_B L_I AO_I G_I IH_I NG_E
CLOGS	K_B L_I AO_I G_I Z_E
CLONE	K_B L_I OW_I N_E
CLONES	K_B L_I OW_I N_I Z_E
CLOS-EST-	K_B L_I OW_I S_E #2
CLOSE	K_B L_I OW_I S_E #3
CLOSE-KNIT	K_B L_I OW_I S_I N_I IH_I T_E
CLOSED	K_B L_I OW_I Z_I D_E
CLOSELY	K_B L_I OW_I S_I L_I IY_E #2
CLOSENESS	K_B L_I OW_I S_I N_I IH_I S_E
CLOSER	K_B L_I OW_I S_I ER_E
CLOSER-KNIT	K_B L_I OW_I S_I ER_I N_I IH_I T_E
CLOSES	K_B L_I OW_I Z_I IH_I Z_E
CLOSEST	K_B L_I OW_I S_I IH_I S_I T_E #2
CLOSET	K_B L_I AO_I Z_I IH_I T_E
CLOSETS	K_B L_I AO_I Z_I IH_I T_I S_E
CLOSING	K_B L_I OW_I Z_I IH_I NG_E
CLOSINGS	K_B L_I OW_I Z_I IH_I NG_I Z_E
CLOSURE	K_B L_I OW_I ZH_I ER_E
CLOTH	K_B L_I AO_I TH_E
CLOTHE	K_B L_I OW_I DH_E
CLOTHED	K_B L_I OW_I DH_I D_E
CLOTHES	K_B L_I OW_I DH_I Z_E #2
CLOTHING	K_B L_I OW_I DH_I IH_I NG_E #2
CLOTHS	K_B L_I AO_I DH_I Z_E
CLOU-D-	K_B L_I AW_E
CLOUD	K_B L_I AW_I D_E
CLOUDED	K_B L_I AW_I D_I IH_I D_E
CLOUDING	K_B L_I AW_I D_I IH_I NG_E
CLOUDLESS	K_B L_I AW_I D_I L_I IH_I S_E
CLOUDS	K_B L_I AW_I D_I Z_E
CLOUDY	K_B L_I AW_I D_I IY_E
CLOUT	K_B L_I AW_I T_E
CLOVER	K_B L_I OW_I V_I ER_E
CLOVES	K_B L_I OW_I V_I Z_E
CLOWN	K_B L_I AW_I N_E
CLOWN'S	K_B L_I AW_I N_I Z_E #1
CLOWNING	K_B L_I AW_I N_I IH_I NG_E
CLOWNS	K_B L_I AW_I N_I Z_E #2
CLUB	K_B L_I AH_I B_E
CLUBS	K_B L_I AH_I B_I Z_E #2
CLUE	K_B L_I UW_E
CLUED	K_B L_I UW_I D_E
CLUES	K_B L_I UW_I Z_E
CLUMP	K_B L_I AH_I M_I P_E
CLUMPS	K_B L_I AH_I M_I P_I S_E
CLUMPY	K_B L_I AH_I M_I P_I IY_E
CLUNK	K_B L_I AH_I NG_I K_E
CLUNKERS	K_B L_I AH_I NG_I K_I ER_I Z_E
CLUSTER	K_B L_I AH_I S_I T_I ER_E
CLUSTERING	K_B L_I AH_I S_I T_I AX_I R_I IH_I NG_E
CLUTCH	K_B L_I AH_I CH_E #2
CLUTCHES	K_B L_I AH_I CH_I IH_I Z_E
CLYDE	K_B L_I AY_I D_E
CMU	S_B IY_I EH_I M_I Y_I UW_E
CNBC	S_B IY_I EH_I N_I B_I IY_I S_I IY_E
CNC	S_B IY_I EH_I N_I S_I IY_E
CNN	S_B IY_I EH_I N_I EH_I N_E
CNN'S	S_B IY_I EH_I N_I EH_I N_I Z_E
CO-ED-	K_B OW_E #1
CO-LD-	K_B OW_E #2
CO-LEAD	K_B OW_I L_I IY_I D_E
CO-LLEGE-	K_B AO_E #5
CO-LLEGES-	K_B AO_E #6
CO-LOR-	K_B AH_E #6
CO-LTS-	K_B OW_E #3
CO-ME-	K_B AH_E #7
CO-MEDY-	K_B AA_E #3
CO-MFORTABLE-	K_B AH_E #8
CO-MMERCIALS-	K_B AX_E #3
CO-MMUNIST-	K_B AA_E #4
CO-MPANY-	K_B AH_E #9
CO-MPARED-	K_B AX_E #4
CO-MPLETE-	K_B AX_E #5
CO-MPUTER-	K_B AX_E #6
CO-NCEPT-	K_B AA_E #5
CO-NDITIONAL-	K_B AX_E #7
CO-NNECT-	K_B AX_E #8
CO-NSIDERABLE-	K_B AX_E #9
CO-NSIDERED-	K_B AX_E #10
CO-NSISTENTLY-	K_B AX_E #11
CO-NSTITUTION-	K_B AA_E #6
CO-NSULTANT-	K_B AX_E #12
CO-NTINUANCE-	K_B AX_E #13
CO-NTROL-	K_B AX_E #14
CO-NVERSATION-	K_B AA_E #7
CO-OP	K_B OW_I AA_I P_E #1
CO-OPING	K_B OW_I AA_I P_I IH_I NG_E
CO-PAYMENTS	K_B OW_I P_I EY_I M_I IH_I N_I T_I S_E
CO-PROCESSOR	K_B OW_I P_I R_I AA_I S_I EH_I S_I ER_E
CO-PROCESSORS	K_B OW_I P_I R_I AA_I S_I EH_I S_I ER_I Z_E
CO-RRECT-	K_B AX_E #15
CO-SBYS-	K_B AO_E #7
CO-SIGNED	K_B OW_I S_I AY_I N_I D_E
CO-ST-	K_B AO_E #8
CO-STING-	K_B AO_E #9
CO-STS-	K_B AO_E #10
CO-ULD-	K_S #110
CO-VER-	K_B AH_E #10
CO-VERED-	K_B AH_E #11
CO-VERS-	K_B AH_E #12
COACH	K_B OW_I CH_E
COACH'S	K_B OW_I CH_I IH_I Z_E #1
COACHED	K_B OW_I CH_I T_E
COACHES	K_B OW_I CH_I IH_I Z_E #2
COACHING	K_B OW_I CH_I IH_I NG_E #2
COAL	K_B OW_I L_E #1
COALITION	K_B OW_I AX_I L_I IH_I SH_I IH_I N_E
COALS	K_B OW_I L_I Z_E #2
COARSE	K_B OW_I R_I S_E #2
COAST	K_B OW_I S_I T_E
COASTAL	K_B OW_I S_I T_I AX_I L_E
COASTER	K_B OW_I S_I T_I ER_E
COASTING	K_B OW_I S_I T_I IH_I NG_E
COASTLINE	K_B OW_I S_I T_I L_I AY_I N_E
COASTLINES	K_B OW_I S_I T_I L_I AY_I N_I Z_E
COASTS	K_B OW_I S_I T_I S_E
COAT	K_B OW_I T_E #2
COATED	K_B OW_I T_I IH_I D_E
COATING	K_B OW_I T_I IH_I NG_E
COATS	K_B OW_I T_I S_E
COB	K_B AA_I B_E #1
COBB	K_B AA_I B_E #2
COBBLER	K_B AA_I B_I L_I ER_E
COBBLERS	K_B AA_I B_I L_I ER_I Z_E
COBOL	K_B OW_I B_I AA_I L_E
COBRA	K_B OW_I B_I R_I AX_E
COCA-COLA	K_B OW_I K_I AX_I K_I OW_I L_I AX_E
COCAINE	K_B OW_I K_I EY_I N_E
COCAINE'S	K_B OW_I K_I EY_I N_I Z_E
COCK	K_B AA_I K_E #1
COCK-ATOO-	K_B AA_I K_E #2
COCK-ER-	K_B AA_I K_E #3
COCKAPOO	K_B AA_I K_I AX_I P_I UW_E
COCKATIEL	K_B AA_I K_I AX_I T_I IY_I AX_I L_E
COCKATIELS	K_B AA_I K_I AX_I T_I IY_I AX_I L_I Z_E
COCKATOO	K_B AA_I K_I AX_I T_I UW_E
COCKATOOS	K_B AA_I K_I AX_I T_I UW_I Z_E
COCKER	K_B AA_I K_I ER_E
COCKROACH	K_B AA_I K_I R_I OW_I CH_E
COCKROACHES	K_B AA_I K_I R_I OW_I CH_I IH_I Z_E
COCKTAIL	K_B AA_I K_I T_I EY_I L_E
COCKTAILS	K_B AA_I K_I T_I EY_I L_I Z_E
COCKY	K_B AA_I K_I IY_E
COCO	K_B OW_I K_I OW_E #1
COCOA	K_B OW_I K_I OW_E #2
COCONUT	K_B OW_I K_I AX_I N_I AH_I T_E
COCOON	K_B AX_I K_I UW_I N_E
COCOONS	K_B AX_I K_I UW_I N_I Z_E
COD	K_B AA_I D_E
CODA	K_B OW_I D_I AX_E
CODDLED	K_B AA_I D_I AX_I L_I D_E
CODDLING	K_B AA_I D_I AX_I L_I IH_I NG_E
CODE	K_B OW_I D_E
CODED	K_B OW_I D_I IH_I D_E
CODEINE	K_B OW_I D_I IY_I N_E
CODEPENDENCY	K_B OW_I D_I IH_I P_I EH_I N_I D_I IH_I N_I S_I IY_E
CODEPENDENT	K_B OW_I D_I IH_I P_I EH_I N_I D_I IH_I N_I T_E
CODEPENDENTS	K_B OW_I D_I IH_I P_I EH_I N_I D_I IH_I N_I T_I S_E
CODER	K_B OW_I D_I ER_E
CODES	K_B OW_I D_I Z_E
COED	K_B OW_I EH_I D_E
COEFFICIENTS	K_B OW_I AX_I F_I IH_I SH_I IH_I N_I T_I S_E
COEXIST	K_B OW_I IH_I G_I Z_I IH_I S_I T_E
COEXISTENCE	K_B OW_I EH_I G_I Z_I IH_I S_I T_I IH_I N_I S_E
COFF-ERS-	K_B AO_I F_E #1
COFFEE	K_B AO_I F_I IY_E #2
COFFERS	K_B AO_I F_I ER_I Z_E
COFFIN	K_B AO_I F_I IH_I N_E
COGBURN	K_B AO_I G_I B_I ER_I N_E
COGNITIVE	K_B AA_I G_I N_I IH_I T_I IH_I V_E
COGNIZANCE	K_B AA_I G_I N_I IH_I Z_I IH_I N_I S_E
COGNIZANT	K_B AA_I G_I N_I IH_I Z_I IH_I N_I T_E
COGNIZITIVE	K_B AA_I G_I N_I IH_I Z_I T_I IH_I V_E
COHERENT	K_B OW_I HH_I IY_I R_I IH_I N_I T_E
COHERENTLY	K_B OW_I HH_I IY_I R_I IH_I N_I T_I L_I IY_E
COHESION	K_B OW_I HH_I IY_I ZH_I IH_I N_E
COHESIVE	K_B OW_I HH_I IY_I S_I IH_I V_E
COHI-LL-	K_B OW_I HH_I IH_E
COHILL	K_B OW_I HH_I IH_I L_E
COHORTS	K_B OW_I HH_I OW_I R_I T_I S_E
COILS	K_B OY_I L_I Z_E
COIN	K_B OY_I N_E
COINCIDE	K_B OW_I IH_I N_I S_I AY_I D_E
COINCIDED	K_B OW_I IH_I N_I S_I AY_I D_I IH_I D_E
COINCIDENCE	K_B OW_I IH_I N_I S_I IH_I D_I IH_I N_I S_E
COINCIDENCES	K_B OW_I IH_I N_I S_I IH_I D_I EH_I N_I S_I IH_I Z_E
COINCIDENTAL	K_B OW_I IH_I N_I S_I IH_I D_I EH_I N_I T_I AX_I L_E
COINCIDENTLY	K_B OW_I IH_I N_I S_I IH_I D_I EH_I N_I T_I L_I IY_E
COINED	K_B OY_I N_I D_E
COINS	K_B OY_I N_I Z_E
COIT	K_B OY_I T_E
COKE	K_B OW_I K_E
COKES	K_B OW_I K_I S_E
COL-D-	K_B OW_I L_E #2
COL-LEGE-	K_B AO_I L_E #5
COLA	K_B OW_I L_I AX_E
COLD	K_B OW_I L_I D_E #2
COLD-BLOODED	K_B OW_I L_I D_I B_I L_I AH_I D_I IH_I D_E
COLD-BLOODEDLY	K_B OW_I L_I D_I B_I L_I AH_I D_I IH_I D_I L_I IY_E
COLDER	K_B OW_I L_I D_I ER_E
COLDEST	K_B OW_I L_I D_I IH_I S_I T_E
COLDNESS	K_B OW_I L_I D_I N_I IH_I S_E
COLDS	K_B OW_I L_I D_I Z_E
COLE	K_B OW_I L_E #3
COLE'S	K_B OW_I L_I Z_E #3
COLEMAN	K_B OW_I L_I M_I AX_I N_E
COLESLAW	K_B OW_I L_I S_I L_I AO_E
COLESMITH	K_B OW_I L_I S_I M_I IH_I TH_E
COLEUS	K_B OW_I L_I IY_I IH_I S_E
COLIN	K_B AA_I L_I IH_I N_E
COLINAS	K_B AX_I L_I IY_I N_I IH_I S_E
COLISEUM	K_B AA_I L_I IH_I S_I IY_I AX_I M_E
COLL-EGE-	K_B AO_I L_E #6
COLL-EGES-	K_B AO_I L_E #7
COLLABORATING	K_B AX_I L_I AE_I B_I AX_I R_I EY_I T_I IH_I NG_E
COLLAGE	K_B AX_I L_I AA_I ZH_E
COLLAGEN	K_B AO_I L_I AX_I JH_I IH_I N_E
COLLAPSE	K_B AX_I L_I AE_I P_I S_E #2
COLLAPSED	K_B AX_I L_I AE_I P_I S_I T_E
COLLAPSIBLE	K_B AX_I L_I AE_I P_I S_I IH_I B_I AX_I L_E
COLLAR	K_B AO_I L_I ER_E #2
COLLARBONE	K_B AA_I L_I ER_I B_I OW_I N_E
COLLARD	K_B AO_I L_I ER_I D_E
COLLARDS	K_B AA_I L_I ER_I D_I Z_E
COLLARED	K_B AA_I L_I ER_I D_E
COLLARS	K_B AO_I L_I ER_I Z_E #3
COLLATE	K_B AA_I L_I EY_I T_E
COLLATERAL	K_B AX_I L_I AE_I T_I AX_I R_I AX_I L_E
COLLE-GE-	K_B AO_I L_I IH_E
COLLEAGUE	K_B AO_I L_I IY_I G_E
COLLEAGUES	K_B AO_I L_I IY_I G_I Z_E
COLLECT	K_B AX_I L_I EH_I K_I T_E #2
COLLECTED	K_B AX_I L_I EH_I K_I T_I IH_I D_E
COLLECTIBLES	K_B AX_I L_I EH_I K_I T_I AX_I B_I AX_I L_I Z_E
COLLECTING	K_B AX_I L_I EH_I K_I T_I IH_I NG_E
COLLECTION	K_B AX_I L_I EH_I K_I SH_I IH_I N_E
COLLECTIONS	K_B AX_I L_I EH_I K_I SH_I IH_I N_I Z_E
COLLECTIVE	K_B AX_I L_I EH_I K_I T_I IH_I V_E
COLLECTIVELY	K_B AX_I L_I EH_I K_I T_I IH_I V_I L_I IY_E
COLLECTOR	K_B AX_I L_I EH_I K_I T_I ER_E
COLLECTOR'S	K_B AX_I L_I EH_I K_I T_I ER_I Z_E #1
COLLECTORS	K_B AX_I L_I EH_I K_I T_I ER_I Z_E #2
COLLECTS	K_B AX_I L_I EH_I K_I T_I S_E
COLLEEN	K_B AO_I L_I IY_I N_E
COLLEGE	K_B AO_I L_I IH_I JH_E #2
COLLEGES	K_B AO_I L_I IH_I JH_I IH_I Z_E
COLLEGIATE	K_B AX_I L_I IY_I JH_I IH_I T_E
COLLEN	K_B AO_I L_I IH_I N_E #2
COLLIDED	K_B AX_I L_I AY_I D_I IH_I D_E
COLLIE	K_B AA_I L_I IY_E
COLLIER	K_B AO_I L_I Y_I ER_E
COLLIES	K_B AA_I L_I IY_I Z_E
COLLIN	K_B AO_I L_I IH_I N_E #3
COLLINS	K_B AO_I L_I IH_I N_I Z_E
COLLISION	K_B AX_I L_I IH_I ZH_I IH_I N_E
COLLISIONS	K_B AX_I L_I IH_I ZH_I IH_I N_I Z_E
COLLOQUIUM	K_B AX_I L_I OW_I K_I W_I IY_I AX_I M_E
COLLUSION	K_B AX_I L_I UW_I ZH_I IH_I N_E
COLO-RADO-	K_B AA_I L_I AX_E
COLOGNE	K_B AX_I L_I OW_I N_E
COLOMBIA	K_B AX_I L_I AH_I M_I B_I IY_I AX_E #1
COLOMBIAN	K_B AX_I L_I AH_I M_I B_I IY_I IH_I N_E
COLOMBIANS	K_B AX_I L_I AH_I M_I B_I IY_I IH_I N_I Z_E
COLOMBO	K_B AX_I L_I AH_I M_I B_I OW_E #1
COLONEL	K_B ER_I N_I AX_I L_E #1
COLONIAL	K_B AX_I L_I OW_I N_I IY_I AX_I L_E
COLONIES	K_B AO_I L_I AX_I N_I IY_I Z_E
COLONY	K_B AO_I L_I AX_I N_I IY_E
COLOR	K_B AH_I L_I ER_E
COLOR'D	K_B AH_I L_I ER_I D_E #1
COLORA-DO-	K_B AA_I L_I AX_I R_I AA_E
COLORADO	K_B AA_I L_I AX_I R_I AA_I D_I OW_E
COLORADO'S	K_B AA_I L_I AX_I R_I AA_I D_I OW_I Z_E
COLORATION	K_B AH_I L_I AX_I R_I EY_I SH_I IH_I N_E
COLORATIONS	K_B AH_I L_I AX_I R_I EY_I SH_I IH_I N_I Z_E
COLORED	K_B AH_I L_I ER_I D_E #2
COLORFUL	K_B AH_I L_I ER_I F_I AX_I L_E
COLORING	K_B AH_I L_I AX_I R_I IH_I NG_E
COLORS	K_B AH_I L_I ER_I Z_E #2
COLOSSIANS	K_B AX_I L_I AA_I S_I IY_I IH_I N_I Z_E
COLT	K_B OW_I L_I T_E
COLTER'S	K_B OW_I L_I T_I ER_I Z_E
COLTS	K_B OW_I L_I T_I S_E
COLUMBIA	K_B AX_I L_I AH_I M_I B_I IY_I AX_E #2
COLUMBO	K_B AX_I L_I AH_I M_I B_I OW_E #2
COLUMBUS	K_B AX_I L_I AH_I M_I B_I AX_I S_E
COLUMN	K_B AO_I L_I AX_I M_E
COLUMNIST	K_B AO_I L_I AX_I M_I N_I IH_I S_I T_E
COLUMNISTS	K_B AO_I L_I AX_I M_I N_I IH_I S_I T_I S_E
COLUMNS	K_B AO_I L_I AX_I M_I Z_E
COM-BAT-	K_B AA_I M_E #2
COM-BINED-	K_B AX_I M_E #1
COM-ING-	K_B AH_I M_E #3
COM-PANIES-	K_B AH_I M_E #4
COM-PANY'S-	K_B AH_I M_E #5
COM-PANY-	K_B AH_I M_E #6
COM-PARE-	K_B AX_I M_E #2
COM-PARING-	K_B AX_I M_E #3
COM-PARISON-	K_B AX_I M_E #4
COM-PARTMENTS-	K_B AH_I M_E #7
COM-PETE-	K_B AX_I M_E #5
COM-PETING-	K_B AX_I M_E #6
COM-PETITION-	K_B AA_I M_E #3
COM-PETITOR-	K_B AX_I M_E #7
COM-PLETE-	K_B AX_I M_E #8
COM-PLETED-	K_B AX_I M_E #9
COM-PLETELY-	K_B AH_I M_E #8
COM-PUTER-	K_B AX_I M_E #10
COM-PUTERS-	K_B AX_I M_E #11
COMA	K_B OW_I M_I AX_E
COMATOSE	K_B AA_I M_I AX_I T_I OW_I S_E
COMB	K_B OW_I M_E #1
COMB-INED-	K_B AX_I M_I B_E
COMBAT	K_B AA_I M_I B_I AE_I T_E
COMBINATION	K_B AA_I M_I B_I IH_I N_I EY_I SH_I IH_I N_E
COMBINATIONS	K_B AA_I M_I B_I IH_I N_I EY_I SH_I IH_I N_I Z_E
COMBINE	K_B AA_I M_I B_I AY_I N_E
COMBINED	K_B AX_I M_I B_I AY_I N_I D_E
COMBINES	K_B AA_I M_I B_I AY_I N_I Z_E
COMBING	K_B OW_I M_I IH_I NG_E
COMBINING	K_B AX_I M_I B_I AY_I N_I IH_I NG_E
COMBO	K_B AA_I M_I B_I OW_E
COMBUSTION	K_B AX_I M_I B_I AH_I S_I CH_I IH_I N_E
COME	K_B AH_I M_E #9
COME-DY-	K_B AA_I M_E #4
COME-S-	K_B AH_I M_E #10
COMEBACK	K_B AH_I M_I B_I AE_I K_E
COMEDIAN	K_B AX_I M_I IY_I D_I IY_I IH_I N_E
COMEDIANS	K_B AX_I M_I IY_I D_I IY_I IH_I N_I Z_E
COMEDIES	K_B AA_I M_I IH_I D_I IY_I Z_E
COMEDY	K_B AA_I M_I IH_I D_I IY_E
COMES	K_B AH_I M_I Z_E #2
COMET	K_B AA_I M_I IH_I T_E
COMFOR-TING-	K_B AH_I M_I F_I ER_E
COMFORT	K_B AH_I M_I F_I ER_I T_E
COMFORTABLE	K_B AH_I M_I F_I AX_I T_I AX_I B_I AX_I L_E
COMFORTABLY	K_B AH_I M_I F_I ER_I T_I AX_I B_I L_I IY_E
COMFORTED	K_B AH_I M_I F_I ER_I T_I IH_I D_E
COMFORTER	K_B AH_I M_I F_I ER_I T_I ER_E
COMFORTERS	K_B AH_I M_I F_I ER_I T_I ER_I Z_E
COMFORTING	K_B AH_I M_I F_I ER_I T_I IH_I NG_E
COMFORTS	K_B AH_I M_I F_I ER_I T_I S_E
COMFY	K_B AH_I M_I F_I IY_E
COMIC	K_B AA_I M_I IH_I K_E
COMICAL	K_B AA_I M_I IH_I K_I AX_I L_E
COMICS	K_B AA_I M_I IH_I K_I S_E
COMING	K_B AH_I M_I IH_I NG_E #2
COMM-ITTED-	K_B AX_I M_E #12
COMM-UNIST-	K_B AA_I M_E #5
COMMAND	K_B AX_I M_I AE_I N_I D_E
COMMANDANT	K_B AA_I M_I AX_I N_I D_I AA_I N_I T_E
COMMANDED	K_B AX_I M_I AE_I N_I D_I IH_I D_E
COMMANDER	K_B AX_I M_I AE_I N_I D_I ER_E
COMMANDER'S	K_B AX_I M_I AE_I N_I D_I ER_I Z_E #1
COMMANDERS	K_B AX_I M_I AE_I N_I D_I ER_I Z_E #2
COMMANDMENTS	K_B AX_I M_I AE_I N_I D_I M_I IH_I N_I T_I S_E
COMMANDS	K_B AX_I M_I AE_I N_I D_I Z_E
COMMAS	K_B AA_I M_I AX_I Z_E
COMMENCE	K_B AX_I M_I EH_I N_I S_E
COMMEND	K_B AX_I M_I EH_I N_I D_E
COMMENSURATE	K_B AX_I M_I EH_I N_I S_I AX_I R_I IH_I T_E
COMMENT	K_B AA_I M_I EH_I N_I T_E
COMMENTARIES	K_B AA_I M_I EH_I N_I T_I EH_I R_I IY_I Z_E
COMMENTARY	K_B AA_I M_I EH_I N_I T_I EH_I R_I IY_E
COMMENTATOR	K_B AA_I M_I EH_I N_I T_I EY_I T_I ER_E
COMMENTATORS	K_B AA_I M_I EH_I N_I T_I EY_I T_I ER_I Z_E
COMMENTED	K_B AA_I M_I EH_I N_I T_I IH_I D_E
COMMENTING	K_B AA_I M_I EH_I N_I T_I IH_I NG_E
COMMENTS	K_B AA_I M_I EH_I N_I T_I S_E
COMMER-CIAL-	K_B AX_I M_I ER_E
COMMERCE	K_B AA_I M_I ER_I S_E
COMMERCIAL	K_B AX_I M_I ER_I SH_I AX_I L_E
COMMERCIALIZATION	K_B AX_I M_I ER_I SH_I AX_I L_I IH_I Z_I EY_I SH_I IH_I N_E
COMMERCIALIZED	K_B AX_I M_I ER_I SH_I AX_I L_I AY_I Z_I D_E
COMMERCIALLY	K_B AX_I M_I ER_I SH_I AX_I L_I IY_E
COMMERCIALS	K_B AX_I M_I ER_I SH_I AX_I L_I Z_E #2
COMMIES	K_B AA_I M_I IY_I Z_E
COMMINGLE	K_B AX_I M_I IH_I NG_I G_I AX_I L_E
COMMISH	K_B AA_I M_I IH_I SH_E
COMMISSARY	K_B AA_I M_I IH_I S_I EH_I R_I IY_E
COMMISSION	K_B AX_I M_I IH_I SH_I IH_I N_E
COMMISSION'S	K_B AX_I M_I IH_I SH_I IH_I N_I Z_E #1
COMMISSIONED	K_B AX_I M_I IH_I SH_I IH_I N_I D_E
COMMISSIONER	K_B AX_I M_I IH_I SH_I IH_I N_I ER_E
COMMISSIONERS	K_B AX_I M_I IH_I SH_I IH_I N_I ER_I Z_E
COMMISSIONS	K_B AX_I M_I IH_I SH_I IH_I N_I Z_E #2
COMMIT	K_B AX_I M_I IH_I T_E #1
